hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dbFlags,geom_rate,nav_modes,true_heading,timestamp
a38024,adsr_icao,N8119Q  ,N3244V,BE35,800,650.0,68.0,65.7,-384.0,0125,none,A7,,,,27.878265,-82.711349,0,0,2.223,,,,0.0,,perhour,,,0.0,0.0,[],[],149008,2.0,-19.0,,,,,2024-09-21 18:03:03.773572+00:00
a64cef,adsb_icao,,N505EH,LJ55,43000,45150.0,472.1,168.14,,2471,none,,,43008.0,,27.955902,-82.705289,8,186,0.091,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],630605,0.0,-9.6,,-256.0,,,2024-09-21 18:03:03.773572+00:00
a6db36,adsb_icao,N54067  ,N54067,C172,4700,4850.0,85.3,309.29,,1200,none,A1,,,,27.382864,-82.69631,9,75,0.076,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],6046599,0.1,-6.5,,-128.0,,,2024-09-21 18:03:03.773572+00:00
a85c03,adsb_icao,TCF638  ,N638FT,P28A,800,625.0,76.0,339.18,,0162,none,A1,,,,27.929015,-82.693722,9,75,0.477,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],4993494,0.5,-4.7,,768.0,,,2024-09-21 18:03:03.773572+00:00
a23113,adsr_icao,N240MA  ,N240MA,GLAS,10400,10925.0,170.1,148.46,960.0,1200,none,A1,,,,28.547745,-82.684637,0,0,0.0,,,,0.0,,perhour,,,0.0,0.0,[],[],79717,0.0,-15.8,,,,,2024-09-21 18:03:03.773572+00:00
a85c3d,adsb_icao,N638JA  ,N638JA,P28A,5025,5175.0,117.9,202.43,0.0,3741,none,A1,1012.8,4992.0,180.0,28.596497,-82.67682,9,75,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5800644,0.0,-8.8,,,"['autopilot', 'althold']",,2024-09-21 18:03:03.773572+00:00
a64430,adsb_icao,N5023S  ,N5023S,P28R,1175,1025.0,141.1,199.46,0.0,1200,none,A1,1012.0,1088.0,336.8,27.618512,-82.674496,9,75,0.649,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],2137119,0.4,-5.3,,,,,2024-09-21 18:03:03.773572+00:00
a1f53f,adsb_icao,N225TB  ,N225TB,P28A,1400,1350.0,86.5,354.03,-448.0,4542,none,A1,1012.8,800.0,,27.826996,-82.673777,9,75,0.649,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],6289693,0.0,-7.6,,,[],,2024-09-21 18:03:03.773572+00:00
a6f777,adsb_icao,DAL1525 ,N548US,B752,3025,3075.0,164.2,86.86,0.0,2013,none,A4,1012.8,3008.0,90.0,27.69765,-82.656802,8,186,0.192,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],17028180,0.2,-9.3,,,,,2024-09-21 18:03:03.773572+00:00
a97808,adsb_icao,N709WY  ,N709WY,PC12,8850,9250.0,164.3,330.47,1280.0,3736,none,A1,1012.0,11008.0,,27.864807,-82.646104,9,75,0.091,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],4696783,0.0,-7.8,,,,,2024-09-21 18:03:03.773572+00:00
ae2913,adsb_icao,C6036   ,6036,H60,475,400.0,116.2,123.42,,0173,none,A7,,,,27.910446,-82.629003,10,25,0.524,2.0,1.0,11.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],456736,0.5,-7.2,1.0,0.0,,,2024-09-21 18:03:03.773572+00:00
a077fe,adsb_icao,,N12933,C172,0,,,243.0,,1200,none,A1,,,,27.764923,-82.628122,8,186,0.477,0.0,,8.0,,2.0,perhour,,,0.0,0.0,[],[],3794812,0.5,-1.7,,,,,2024-09-21 18:03:03.773572+00:00
ad5c89,adsb_icao,DAL3104 ,N960DZ,B739,75,-50.0,11.7,340.0,64.0,3340,,A3,1012.0,4992.0,139.22,27.402882,-82.563629,8,186,15.258,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],17165762,0.7,-29.3,,,,,2024-09-21 18:03:03.773572+00:00
a8f728,adsb_icao,EJA677  ,N677QS,C68A,ground,,0.0,,,3345,none,A2,,,,27.393362,-82.547982,8,75,39.464,2.0,,10.0,2.0,3.0,perhour,,2.0,,,[],[],9991288,16.9,-29.5,,,,180.0,2024-09-21 18:03:03.773572+00:00
a475d8,adsb_icao,,N387FR,A20N,ground,,2.8,,,,,,,,,27.97831,-82.537801,8,186,7.969,2.0,,10.0,4.0,3.0,perhour,,3.0,,,[],[],30339187,8.0,-14.1,,,,87.19,2024-09-21 18:03:03.773572+00:00
